seller_state,seller_zip_code_prefix,geolocation_lat,geolocation_lng,total_reviews,avg_review_score,percentage_negative_reviews
SP,3513,-23.53583699295913,-46.523108636005084,58,5,0
SP,3561,-23.5477367584284,-46.494996203935074,30,5,0
SP,3568,-23.542000785392428,-46.48484332598025,37,5,0
SP,3586,-23.556220672742558,-46.4890394230232,29,5,0
SP,3820,-23.495863087771465,-46.503084508156689,1000,5,0
SP,3951,-23.58654972414455,-46.488694256580921,456,5,0
SP,3962,-23.605673923420678,-46.481512620852826,104,5,0
SP,4054,-23.616299909517164,-46.642176264134555,36,5,0
SP,4154,-23.628441671418859,-46.622023946605623,20,5,0
SP,4164,-23.627534295197535,-46.60829070808083,49,5,0
SP,4193,-23.648893436886869,-46.608494915396292,147,5,0
SP,4195,-23.65724198521615,-46.612830839593663,175,5,0
SP,4209,-23.586165074198576,-46.601134770697179,252,5,0
SP,4283,-23.609330706660412,-46.604427891377647,20,5,0
SP,4311,-23.633210687932696,-46.638276697926742,232,5,0
SP,4534,-23.584221095155652,-46.674052829159464,109,5,0
SP,4547,-23.597787481892404,-46.683971167929251,153,5,0
SP,4557,-23.602981716718855,-46.683338148844911,28,5,0
SP,4558,-23.602195961257529,-46.686347486241573,180,5,0
SP,4650,-23.657850841946921,-46.676925083929262,476,5,0
SP,4660,-23.665058711138013,-46.679519143037169,339,5,0
SP,4679,-23.674279253457222,-46.681906973913932,324,5,0
SP,4716,-23.631872008304072,-46.703808026500838,168,5,0
SP,4719,-23.632941446215064,-46.706958480610986,2210,5,0
SP,4781,-23.686303077405274,-46.704512708086916,42,5,0
SP,4801,-23.71371321894911,-46.699243607721755,8,5,0
SP,4937,-23.686027264004057,-46.761222924777343,94,5,0
SP,5104,-23.513877059587522,-46.756217745051096,286,5,0
SP,5171,-23.477638371873422,-46.749219957196445,179,5,0
SP,5268,-23.440855455436189,-46.783986265332807,56,5,0
SP,5302,-23.530561572873737,-46.726887072481638,146,5,0
SP,5314,-23.53064659894434,-46.736452552910755,62,5,0
SP,5372,-23.5798303030249,-46.757513526960189,147,5,0
SP,5413,-23.559765879649142,-46.680009300814667,91,5,0
SP,5524,-23.59701793763902,-46.742765414697416,72,5,0
SP,5547,-23.593289291903176,-46.772505416655925,324,5,0
SP,5624,-23.595284852664303,-46.728198536058464,51,5,0
SP,5715,-23.629112164277853,-46.732070759005055,59,5,0
SP,5763,-23.643648226598245,-46.759019375370066,326,5,0
SP,6276,-23.484456379259612,-46.77506800791145,40,5,0
SP,6330,-23.555518450847483,-46.828338632374354,618,5,0
SP,6340,-23.567386494897924,-46.824250291164283,132,5,0
SP,6419,-23.476933660260748,-46.885300370742542,37,5,0
SP,6449,-23.54212151927856,-46.8686738162582,447,5,0
SP,6519,-23.491332131125457,-46.963781254503026,237,5,0
SP,6714,-23.599474877554496,-46.872588006130975,47,5,0
SP,6760,-23.613474482103847,-46.773140950018409,46,5,0
SP,6768,-23.607689842105266,-46.752814815789456,114,5,0
SP,6803,-23.64878072764483,-46.849024168916962,84,5,0
SP,6852,-23.706489225118318,-46.858941696526429,423,5,0
SP,7176,-23.409620383290871,-46.386426159871945,119,5,0
SP,7859,-23.329127586361675,-46.715937252519282,35,5,0
SP,8032,-23.51748678878716,-46.42678744635807,154,5,0
SP,8150,-23.518635254069057,-46.413806647070317,278,5,0
SP,8225,-23.529819075625564,-46.46178303972399,126,5,0
SP,8246,-23.531185574566059,-46.438007168288117,258,5,0
SP,8717,-23.539784850233069,-46.190904210903554,236,5,0
SP,8743,-23.555409578770284,-46.218132250650505,120,5,0
SP,9280,-23.640143776337069,-46.5161594752102,214,5,0
SP,9321,-23.648730193239796,-46.436306740158642,756,5,0
SP,9520,-23.608506343913913,-46.571281579885124,200,5,0
SP,9530,-23.621542891813711,-46.575102684538663,263,5,0
SP,9551,-23.623453984201941,-46.553039562714616,262,5,0
SP,9785,-23.709470844712847,-46.540881790498737,46,5,0
SP,9830,-23.790086902423361,-46.53776274305946,39,5,0
SP,9961,-23.702465412990726,-46.596051578023882,121,5,0
SP,9981,-23.706676831947785,-46.608627983513713,106,5,0
SP,11065,-23.965227243543829,-46.343581343498315,479,5,0
SP,11370,-23.955980420412015,-46.381614524106773,254,5,0
SP,11446,-23.943377092119317,-46.197906131526416,300,5,0
SP,11702,-24.014394674314211,-46.438358319817638,2835,5,0
SP,12209,-23.178000475176187,-45.883817716550368,136,5,0
SP,12226,-23.141728248410509,-45.8985037934218,222,5,0
SP,12306,-23.287878042470552,-45.947585558629982,882,5,0
SP,12512,-22.778161755463497,-45.207735146947641,44,5,0
SP,12903,-22.943958803568705,-46.554295892065142,110,5,0
SP,13097,-22.846425889636098,-47.024767959832921,70,5,0
SP,13154,-22.633474164982118,-47.177514945107617,7,5,0
SP,13185,-22.892791605649709,-47.173849499786428,280,5,0
SP,13210,-23.220872853278077,-46.885088328565196,93,5,0
SP,13240,-23.096492254601635,-46.717924660264167,67,5,0
